product_id;quality;size;stock;current_price;regular_price;url
20007;Qualité A;164 cm;4;309.0;289.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/20007-552627-ski-occasion-fischer-brilliant-the-curv-fixations.html#/3-etat_du_materiel-qualite_a/906-taille_skis-164_cm
20007;Qualité A;171 cm;2;309.0;289.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/20007-552628-ski-occasion-fischer-brilliant-the-curv-fixations.html#/3-etat_du_materiel-qualite_a/913-taille_skis-171_cm
20007;Qualité A;178 cm;2;309.0;289.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/20007-552629-ski-occasion-fischer-brilliant-the-curv-fixations.html#/3-etat_du_materiel-qualite_a/920-taille_skis-178_cm
20007;Qualité B;171 cm;2;279.0;289.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/20007-552632-ski-occasion-fischer-brilliant-the-curv-fixations.html#/9-etat_du_materiel-qualite_b/913-taille_skis-171_cm
20007;Qualité B;178 cm;2;279.0;289.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/20007-552633-ski-occasion-fischer-brilliant-the-curv-fixations.html#/9-etat_du_materiel-qualite_b/920-taille_skis-178_cm
11597;Qualité A;76 cm;1;59.0;349.0;https://freeglisse.com/fr/ski-occasion-junior-loisir/11597-85939-ski-occasion-junior-k2-indy-fixations.html#/3-etat_du_materiel-qualite_a/818-taille_skis-76_cm
11597;Qualité A;112 cm;1;59.0;349.0;https://freeglisse.com/fr/ski-occasion-junior-loisir/11597-541100-ski-occasion-junior-k2-indy-fixations.html#/3-etat_du_materiel-qualite_a/854-taille_skis-112_cm
11597;Qualité B;112 cm;9;39.0;349.0;https://freeglisse.com/fr/ski-occasion-junior-loisir/11597-541104-ski-occasion-junior-k2-indy-fixations.html#/9-etat_du_materiel-qualite_b/854-taille_skis-112_cm
12467;Qualité A;100 cm;1;55.0;349.0;https://freeglisse.com/fr/ski-occasion-junior-loisir/12467-517841-ski-occasion-junior-tecnopro-flyte-xt-fixations.html#/3-etat_du_materiel-qualite_a/842-taille_skis-100_cm
12467;Qualité A;110 cm;2;55.0;349.0;https://freeglisse.com/fr/ski-occasion-junior-loisir/12467-517842-ski-occasion-junior-tecnopro-flyte-xt-fixations.html#/3-etat_du_materiel-qualite_a/852-taille_skis-110_cm
12467;Qualité A;120 cm;5;55.0;349.0;https://freeglisse.com/fr/ski-occasion-junior-loisir/12467-517843-ski-occasion-junior-tecnopro-flyte-xt-fixations.html#/3-etat_du_materiel-qualite_a/862-taille_skis-120_cm
12467;Qualité A;130 cm;2;55.0;349.0;https://freeglisse.com/fr/ski-occasion-junior-loisir/12467-517844-ski-occasion-junior-tecnopro-flyte-xt-fixations.html#/3-etat_du_materiel-qualite_a/872-taille_skis-130_cm
12467;Qualité B;120 cm;1;45.0;349.0;https://freeglisse.com/fr/ski-occasion-junior-loisir/12467-517847-ski-occasion-junior-tecnopro-flyte-xt-fixations.html#/9-etat_du_materiel-qualite_b/862-taille_skis-120_cm
18363;Qualité A;146 cm;4;160.3;229.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/18363-408937-ski-occasion-lacroix-pure-fixations.html#/3-etat_du_materiel-qualite_a/888-taille_skis-146_cm
18363;Qualité A;154 cm;1;160.3;229.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/18363-408938-ski-occasion-lacroix-pure-fixations.html#/3-etat_du_materiel-qualite_a/896-taille_skis-154_cm
14616;Qualité B;140 cm;4;69.0;229.0;https://freeglisse.com/fr/ski-occasion-junior-performance/14616-507348-ski-occasion-junior-salomon-x-race-sw-fixations.html#/9-etat_du_materiel-qualite_b/882-taille_skis-140_cm
14616;Qualité C;140 cm;2;49.0;229.0;https://freeglisse.com/fr/ski-occasion-junior-performance/14616-507351-ski-occasion-junior-salomon-x-race-sw-fixations.html#/882-taille_skis-140_cm/1768-etat_du_materiel-qualite_c
19126;Qualité A;167 cm;1;339.0;229.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/19126-533322-ski-occasion-rossignol-hero-elite-multi-turn-carbon-fixations.html#/3-etat_du_materiel-qualite_a/909-taille_skis-167_cm
19126;Qualité B;167 cm;1;309.0;229.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/19126-533323-ski-occasion-rossignol-hero-elite-multi-turn-carbon-fixations.html#/9-etat_du_materiel-qualite_b/909-taille_skis-167_cm
18619;Qualité A;110 cm;6;69.0;229.0;https://freeglisse.com/fr/ski-occasion-junior-performance/18619-506325-ski-occasion-junior-dynastar-team-speed-sl-fixations.html#/3-etat_du_materiel-qualite_a/852-taille_skis-110_cm
16894;Qualité A;157 cm;6;179.0;229.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/16894-405846-ski-occasion-atomic-redster-xm-fixations.html#/3-etat_du_materiel-qualite_a/899-taille_skis-157_cm
16894;Qualité B;157 cm;1;149.0;229.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/16894-405847-ski-occasion-atomic-redster-xm-fixations.html#/9-etat_du_materiel-qualite_b/899-taille_skis-157_cm
15497;Qualité B;156 cm;4;104.3;149.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/15497-225350-ski-occasion-lacroix-mach-1-fixations.html#/9-etat_du_materiel-qualite_b/898-taille_skis-156_cm
15497;Qualité B;170 cm;1;104.3;149.0;https://freeglisse.com/fr/ski-occasion-adulte-performance/15497-177592-ski-occasion-lacroix-mach-1-fixations.html#/9-etat_du_materiel-qualite_b/912-taille_skis-170_cm
19884;Qualité B;138 cm;3;89.0;169.0;https://freeglisse.com/fr/ski-occasion-freestyle/19884-545184-ski-occasion-dynastar-legend-serial-fixations.html#/9-etat_du_materiel-qualite_b/880-taille_skis-138_cm
19884;Qualité B;148 cm;2;89.0;169.0;https://freeglisse.com/fr/ski-occasion-freestyle/19884-545185-ski-occasion-dynastar-legend-serial-fixations.html#/9-etat_du_materiel-qualite_b/890-taille_skis-148_cm
18921;Qualité A;153 cm;2;279.2;349.0;https://freeglisse.com/fr/ski-occasion-femme-performance/18921-431325-ski-occasion-rossignol-nova-14-ti-2023-fixations.html#/3-etat_du_materiel-qualite_a/895-taille_skis-153_cm
18921;Qualité A;167 cm;2;279.2;349.0;https://freeglisse.com/fr/ski-occasion-femme-performance/18921-431327-ski-occasion-rossignol-nova-14-ti-2023-fixations.html#/3-etat_du_materiel-qualite_a/909-taille_skis-167_cm
18931;Qualité A;143 cm;3;259.0;349.0;https://freeglisse.com/fr/ski-occasion-femme-performance/18931-547771-ski-occasion-atomic-cloud-c11-fixations.html#/3-etat_du_materiel-qualite_a/885-taille_skis-143_cm
18931;Qualité A;150 cm;1;259.0;349.0;https://freeglisse.com/fr/ski-occasion-femme-performance/18931-432750-ski-occasion-atomic-cloud-c11-fixations.html#/3-etat_du_materiel-qualite_a/892-taille_skis-150_cm
19925;Qualité C;120 cm;2;59.0;349.0;https://freeglisse.com/fr/ski-occasion-junior-freeride-freestyle/19925-552679-ski-occasion-junior-atomic-punx-fixations.html#/862-taille_skis-120_cm/1768-etat_du_materiel-qualite_c
